code,name,desc,lan,lon,location_type
502,Lot 100a/b,"""""",30.60700405,-96.34786375,0
3711,Bush Library,"""""",30.61339039,-96.34145864,0
1201,MSC,"""""",30.61264742,-96.34249665,0
3709,Stotzer #1,"""""",30.61012346,-96.35329657,0
110,22 Modified,"""""",30.60972113,-96.33521714,0
2206,Plantation Oaks,"""""",30.627531,-96.30648531,0
2207,Briarwood,"""""",30.62648226,-96.30979516,0
2208,Cripple Creek,"""""",30.62407229,-96.31282471,0
2209,Polo Club,"""""",30.62155906,-96.31565042,0
2210,The Cambridge,"""""",30.62030647,-96.31709479,0
509,TTI,"""""",30.60217071,-96.35311686,0
510,Lot 111,"""""",30.59918675,-96.35277354,0
3702,35 Modified,"""""",30.60938451,-96.33485772,0
3513,Woodsman,"""""",30.59395242,-96.33931421,0
3514,Jones Butler South,"""""",30.59077937,-96.33558326,0
3515,The Heights,"""""",30.58988888,-96.34654143,0
3516,Fox Run,"""""",30.59196625,-96.34420522,0
3517,The District,"""""",30.59392292,-96.34204202,0
3613,Callaway Villas,"""""",30.60164098,-96.338932,0
3701,Momentum Plaza,"""""",30.65049339,-96.29131876,0
103,Commons,"""""",30.61515931,-96.33733072,0
411,Para Lot 50,"""""",30.62315229,-96.33893736,0
3705,PARA Joe Routt,"""""",30.61100054,-96.34224855,0
419,Wisenbaker,"""""",30.62122244,-96.33838617,0
610,Transit,"""""",30.61779592,-96.35453307,0
611,Lot 71,"""""",30.61580572,-96.35272124,0
1501,MSC,"""""",30.61289418,-96.34214394,0
5001,Downtown Bryan,"""""",30.67302529,-96.37196877,0
3713,Vet School,"""""",30.61132375,-96.35815539,0
699,MSC,"""""",30.61353523,-96.34131112,0
602,Beutel,"""""",30.61574001,-96.34316587,0
104,Wehner N,"""""",30.6121311,-96.34953075,0
604,Vet School,"""""",30.61516602,-96.35205873,0
606,Transit,"""""",30.61781604,-96.3544982,0
607,Facilities Services,"""""",30.61981294,-96.35634356,0
608,GSC,"""""",30.6218,-96.3576,0
609,Facilities Services,"""""",30.61978612,-96.35637172,0
610,Transit,"""""",30.61779592,-96.35453307,0
611,Lot 71,"""""",30.61580572,-96.35272124,0
612,Vet School,"""""",30.61436269,-96.35142573,0
402,Wehner,"""""",30.61195139,-96.34883337,0
3301,Trigon,"""""",30.614226,-96.338704,0
103,Commons,"""""",30.6152,-96.3374,0
416,Ross and Spence,"""""",30.61905656,-96.33931824,0
417,Ross and Ireland,"""""",30.61782408,-96.34111666,0
106,Asbury Water Tower,"""""",30.61776105,-96.34331875,0
116,Wehner,"""""",30.611991,-96.347955,0
803,Kleberg,"""""",30.6098539,-96.34690621,0
101,Reed Arena,"""""",30.6056777,-96.3473367,0
102,Koldus,"""""",30.61180253,-96.340773,0
599,MSC,"""""",30.61381686,-96.34148144,0
508,Reed Arena,"""""",30.60695309,-96.34810649,0
517,Ag Building,"""""",30.60527,-96.35055401,0
509,TTI,"""""",30.60217071,-96.35311686,0
510,Bush School,"""""",30.59918675,-96.35277354,0
520,Centeq 1,"""""",30.60157124,-96.35759481,0
511,Lot 108/UPD,"""""",30.60435001,-96.35855102,0
512,Centeq 2,"""""",30.60120378,-96.35825866,0
513,Lot 41/43,"""""",30.59811789,-96.3551996,0
514,Bush School,"""""",30.59905264,-96.35264479,0
515,TTI,"""""",30.60183007,-96.35284462,0
516,Ag Building,"""""",30.60562674,-96.34978824,0
503,Kleberg,"""""",30.6097332,-96.34669968,0
1599,MSC,"""""",30.6133515,-96.34147741,0
1226,Fish Pond,"""""",30.61636899,-96.34310149,0
1503,College Main Parking Garage,"""""",30.61952997,-96.34675064,0
1504,Spruce St.,"""""",30.62194932,-96.34926923,0
1505,Aggie Station,"""""",30.62488098,-96.3524852,0
1506,Village on the Creek,"""""",30.62609334,-96.35584064,0
1507,Z Islander,"""""",30.62703211,-96.35845043,0
1508,Reveille Ranch,"""""",30.62840674,-96.35973253,0
1510,Wellborn @ Tee,"""""",30.63293699,-96.36386984,0
1511,Villa Maria @ Green St. ,"""""",30.63799966,-96.36171602,0
1512,Blinn Athletics,"""""",30.634575,-96.354625,0
1513,Academic Village,"""""",30.63109431,-96.35456257,0
1514,Aggie Station,"""""",30.62481795,-96.35252812,0
1515,Spruce St.,"""""",30.6219225,-96.34930276,0
1516,College Main Parking Garage,"""""",30.61950449,-96.34678819,0
406,Fish Pond,"""""",30.61643738,-96.34360977,0
1299,MSC,"""""",30.61284188,-96.34222575,0
1224,University Square - East,"""""",30.62728424,-96.32759564,0
1207,Ashburn - East,"""""",30.6318346,-96.32240959,0
1208,April Bloom - East,"""""",30.63756112,-96.31966033,0
1210,Laurel Ridge - East,"""""",30.63969482,-96.3260118,0
1211,Element @ University Park,"""""",30.64114723,-96.32934042,0
1212,Carter Creek Shopping Center,"""""",30.64666052,-96.3334898,0
1214,Broadmoor - East,"""""",30.6561837,-96.34343811,0
1216,Blinn College - Bldg E,"""""",30.6632,-96.3519,0
1217,Broadmoor - West,"""""",30.65608446,-96.34324499,0
1218,Willow Oaks,"""""",30.64662967,-96.33365609,0
1219,Laurel Ridge - West,"""""",30.637668,-96.326335,0
1221,April Bloom - West,"""""",30.63765097,-96.31996341,0
1222,Asburn - West,"""""",30.6320465,-96.32286288,0
1205,University Square - West,"""""",30.6274331,-96.32779949,0
105,Fish Pond,"""""",30.61643738,-96.34315916,0
999,MSC,"""""",30.613,-96.342,0
902,PA 101,"""""",30.60818825,-96.35842629,0
903,NCTM,"""""",30.6086,-96.3607,0
905,VTED,"""""",30.6113,-96.358,0
613,Wehner S,"""""",30.61187763,-96.34892457,0
906,Wehner S,"""""",30.61208,-96.348655,0
399,MSC,"""""",30.614603,-96.342162,0
301,Beutel,"""""",30.6158017,-96.34321012,0
306,White Creek,"""""",30.6074,-96.3549,0
519,White Creek #2,"""""",30.6067,-96.3566,0
4099,MSC,"""""",30.6144,-96.342,0
3618,Holleman South - OB,"""""",30.58419455,-96.33744337,0
4001,The Junction,"""""",30.5817,-96.3364,0
4002,Deacon - West,"""""",30.57241428,-96.32059642,0
4003,Holleman South - IB,"""""",30.584778,-96.336694,0
899,MSC,"""""",30.6132,-96.3417,0
802,Beutel,"""""",30.61568905,-96.34312429,0
507,Physical Education,"""""",30.60494143,-96.34899967,0
112,Player Development Center,"""""",30.60393292,-96.34558522,0
806,Blue Bell Park,"""""",30.60466517,-96.34193875,0
805,Player Development Center,"""""",30.60392622,-96.34571665,0
502,Physical Education,"""""",30.60488645,-96.34884947,0
807,Reed Arena,"""""",30.60691688,-96.34792008,0
3599,MSC,"""""",30.61271045,-96.34240948,0
804,Pearce Pavilion,"""""",30.59896413,-96.34425618,0
3513,Woodsman,"""""",30.59395242,-96.33931421,0
3507,Gridiron,"""""",30.59137884,-96.33637317,0
3514,The Retreat,"""""",30.588833,-96.33375,0
3515,University Trails,"""""",30.58988888,-96.34654143,0
3516,Fox Run,"""""",30.59196625,-96.34420522,0
3517,The District,"""""",30.59392292,-96.34204202,0
808,Pearce Pavilion,"""""",30.59912775,-96.3442468,0
499,MSC,"""""",30.61402474,-96.34167724,0
401,Fish Pond,"""""",30.61640654,-96.34299554,0
113,Ross and Ireland,"""""",30.61772484,-96.34118237,0
114,Ross and Spence,"""""",30.61894927,-96.33940273,0
115,Ross and Bizzell,"""""",30.6198344,-96.33806162,0
419,Wisenbaker - East,"""""",30.62122244,-96.33838617,0
412,The Gardens 1,"""""",30.62678535,-96.34313636,0
413,The Gardens 2,"""""",30.62868971,-96.3420219,0
414,Hensel @ Texas,"""""",30.62983234,-96.33913316,0
403,Wisenbaker West,"""""",30.6207,-96.3383,0
305,Wehner,"""""",30.612021,-96.348749,0
408,School of Public Health,"""""",30.6094,-96.3538,0
1509,Equine Center - OB,"""""",30.6155375,-96.36593648,0
204,PMC West,"""""",30.60923431,-96.37313821,0
202,Atlas Pear Drive - OB,"""""",30.60299683,-96.37888082,0
415,Health Science Center,"""""",30.59777725,-96.39537507,0
203,Atlas Pear Dr - IB,"""""",30.6031524,-96.3785375,0
205,PMC East,"""""",30.6093188,-96.37294509,0
201,Equine Center - IB,"""""",30.6153,-96.3662,0
2206,Plantation Oaks,"""""",30.627531,-96.30648531,0
2207,Briarwood,"""""",30.62648226,-96.30979516,0
2208,Cripple Creek,"""""",30.62407229,-96.31282471,0
2209,The Rail,"""""",30.62155906,-96.31565042,0
2210,The Cambridge,"""""",30.62030647,-96.31709479,0
3501,Trigon,"""""",30.61395232,-96.33967631,0
117,MSC temp,"""""",30.61444584,-96.34259187,0
3621,Jones Butler Rd,"""""",30.59458006,-96.3400089,0
3618,Holleman South - OB,"""""",30.5841,-96.3374,0
4001,The Junction,"""""",30.5817,-96.3364,0
4002,Deacon - West,"""""",30.57242233,-96.32060044,0
4003,Holleman South - IB,"""""",30.58472,-96.336562,0
503,Kleberg,"""""",30.6097332,-96.34669968,0
4099,MSC,"""""",30.6144,-96.342,0
3513,Woodsman,"""""",30.59395242,-96.33931421,0
3507,Gridiron,"""""",30.59150222,-96.33653008,0
3514,The Retreat,"""""",30.5889,-96.3337,0
3515,University Trails,"""""",30.58988888,-96.34654143,0
3516,Fox Run,"""""",30.59196625,-96.34420522,0
3517,The District,"""""",30.59392292,-96.34204202,0
808,Pearce Pavilion,"""""",30.599128,-96.344247,0
3599,MSC,"""""",30.61271,-96.342409,0
3603,Gateway,"""""",30.59396315,-96.3367527,0
3509,U-Club,"""""",30.596066,-96.3365569,0
3613,Callaway Villas,"""""",30.60164098,-96.338932,0
3601,Trigon,"""""",30.61381821,-96.33955025,0
3602,Treehouse,"""""",30.60151894,-96.33892932,0
3612,Park West,"""""",30.59731323,-96.3384264,0
2701,Trigon,"""""",30.6139,-96.3397,0
2602,Scandia - South,"""""",30.61116684,-96.3236662,0
2703,Lexington - South,"""""",30.60916457,-96.32093035,0
2704,Enclave,"""""",30.61183873,-96.31842919,0
2705,Arbors @ Wolf Pen Creek,"""""",30.61616111,-96.31207772,0
2706,River Oaks Townhomes,"""""",30.61778922,-96.31010764,0
2707,Lofts @ Wolf Pen Creek,"""""",30.61837126,-96.30803429,0
2708,Mall Park - n - Ride,"""""",30.62071148,-96.30452194,0
2709,Lofts @ Wolf Pen Creek,"""""",30.61842624,-96.30817376,0
2710,River Oaks Townhomes,"""""",30.6178442,-96.31020286,0
2711,Arbors @ Wolf Pen Creek,"""""",30.61567832,-96.31268792,0
2712,HEB,"""""",30.61190713,-96.318511,0
2713,Village St,"""""",30.61081815,-96.32026516,0
2714,Scandia - North,"""""",30.61127279,-96.32345565,0
2601,Trigon,"""""",30.61436269,-96.33973934,0
2604,Lemon Tree,"""""",30.60711671,-96.31767147,0
2605,Brentwood,"""""",30.60619805,-96.31344028,0
2606,Arbor Square,"""""",30.60565222,-96.31079294,0
2607,Southwest Parkway @ Cornell,"""""",30.60950387,-96.30657114,0
2608,Southwest Parkway @ Dartmouth,"""""",30.61214167,-96.30358611,0
2610,Eastmark/Windsor Point,"""""",30.61550531,-96.2997476,0
2611,Trails @ Wolf Pen Creek,"""""",30.61759722,-96.30206389,0
2613,Colgate Circle,"""""",30.612138,-96.306834,0
2615,Redstone,"""""",30.60802329,-96.31283008,0
2616,Alpine Circle,"""""",30.606501,-96.316222,0
2618,Lexington - North,"""""",30.60909349,-96.32046499,0
3101,Trigon,"""""",30.61462019,-96.3390527,0
3102,The Woodlands #1,"""""",30.59182811,-96.3293887,0
3103,Willowick,"""""",30.59376467,-96.32605337,0
3105,Yellow House,"""""",30.59565563,-96.32273682,0
3106,University Park,"""""",30.5975,-96.32116389,0
3107,Renaissance Park,"""""",30.59521038,-96.32364609,0
3108,Madison Point,"""""",30.59347097,-96.32667296,0
3110,The Woodlands #2,"""""",30.59185091,-96.32947855,0
2201,Trigon,"""""",30.61353389,-96.33929276,0
2202,The Marc,"""""",30.62002222,-96.31725833,0
2203,The Rail - East,"""""",30.62149469,-96.31559275,0
2204,Cripple Creek - East,"""""",30.62394891,-96.3128113,0
2206,Plantation Oaks,"""""",30.627531,-96.30648531,0
2207,Briarwood,"""""",30.62648226,-96.30979516,0
2208,Cripple Creek - West,"""""",30.62407229,-96.31282471,0
2209,The Rail - West,"""""",30.62155906,-96.31565042,0
2210,The Cambridge,"""""",30.62030647,-96.31709479,0
3401,Trigon,"""""",30.61391745,-96.33842774,0
3402,Welsh @ First Baptist,"""""",30.58743734,-96.31507241,0
3407,Welsh @ Navarro,"""""",30.58475379,-96.31308221,0
3410,Aztec,"""""",30.58075729,-96.31117382,0
3405,Fraternity Row,"""""",30.57575095,-96.31485247,0
3404,Navarro @ Axis,"""""",30.580612,-96.317001,0
3406,Navarro @ Pintail,"""""",30.583472,-96.315167,0
3403,Welsh @ Balcones,"""""",30.58755938,-96.31487124,0
2715,27X Staging Point - G Bush East,"""27 extra""",30.61531622,-96.31427981,0
2205,Munson,"""""",30.62360022,-96.31085463,0
